a,a,1.02,1.15
body,body,1.15,1.8499999999999999
shapes,shapes,1.93,2.38
itself,itself,2.39,2.87
angularly,angularly,2.95,4.3
like,like,4.1,4.3999999999999995
a,a,4.4,4.46
poppy,poppy,4.46,5.22
searching,searching,5.38,5.9
for,for,5.9,6.090000000000001
the,the,6.09,6.25
sun’s,sun's,6.25,6.88
surfaces,surfaces,6.95,7.95
It,it,9.45,9.6
introduces,introduces,9.599999,10.309999000000001
itself,itself,10.309999,10.959999
to,to,10.96,11.170000000000002
an,an,11.17,11.29
irregularly,irregularly,11.29,12.079999999999998
shaped,shaped,12.08,12.48
mirror,mirror,12.509999,13.079999
with,with,13.44,13.68
all,all,13.69,13.959999999999999
the,the,13.96,14.090000000000002
tonalities,<unk>,14.09,14.9
of,of,14.929999,15.129999
a,a,15.139999,15.219999
wheat,wheat,15.219999,15.569999
field,field,15.58,16.16
and,and,16.209999,16.429999
a,a,16.43,16.49
whiff,whiff,16.49,16.95
of,of,16.98,17.26
chestnuts,<unk>,17.289999,18.019999000000002
and,and,18.039999,18.249999000000003
vetiver,<unk>,18.25,18.83
their,their,19.68,19.9
curves,curves,19.9,20.599999999999998
and,and,20.7,20.87
angles,angles,20.9,21.7
agree,agree,21.78,22.34
