Grace,grace,0.94,1.67
a,a,1.98,2.08
black,black,2.08,2.39
woman,woman,2.39,2.69
with,with,2.69,2.85
curly,curly,2.85,3.21
hair,hair,3.21,3.55
tied,tied,3.55,3.82
on,on,3.82,3.94
top,top,3.94,4.15
of,of,4.15,4.25
her,her,4.25,4.36
head,head,4.36,4.75
sits,sits,4.98,5.29
on,on,5.29,5.42
a,a,5.42,5.47
green,green,5.47,5.81
velvet,velvet,5.81,6.22
couch,couch,6.22,6.72
holding,holding,6.73,7.140000000000001
a,a,7.14,7.199999999999999
small,small,7.2,7.55
dry,dry,7.55,7.84
erase,erase,7.84,8.209999999999999
board,board,8.21,8.58
with,with,8.59,9.1
F,f,9.99,10.290000000000001
U,u,10.29,10.75
Mickey,mickey,10.77,11.37
written,written,11.41,11.77
on,on,11.809999,12.029999
it,it,12.03,12.26
in,in,12.27,12.53
orange,orange,12.53,12.87
block,block,12.87,13.18
letters,letters,13.179999,13.829999
She’s,she's,14.349999,14.679999
looking,looking,14.679999,14.969999
at,at,14.969999,15.079998999999999
the,the,15.08,15.17
camera,camera,15.17,15.65
with,with,15.65,15.85
a,a,15.849999,15.939999
friendly,friendly,15.95,16.529999999999998
closed,closed,16.58,16.99
mouth,mouth,16.99,17.25
smile,smile,17.25,17.91
there’s,there's,18.139999,18.349999
a,a,18.35,18.400000000000002
little,little,18.4,18.59
pride,pride,18.59,19.0
behind,behind,19.0,19.37
her,her,19.37,19.52
eyes,eyes,19.52,20.21
Mickey,mickey,20.77,21.34
a,a,21.57,21.66
white,white,21.66,21.95
man,man,21.95,22.3
with,with,22.3,22.48
dark,dark,22.509999999999998,22.79
curly,curly,22.8,23.2
hair,hair,23.2,23.59
and,and,23.59,23.86
short,short,23.86,24.18
facial,facial,24.18,24.56
hair,hair,24.56,25.049999999999997
side,side,25.06,25.45
eyes,eyes,25.45,25.689999999999998
Grace,grace,25.7,26.099999999999998
disapprovingly,disapprovingly,26.119999999999997,27.109999999999996
from,from,27.119999999999997,27.369999999999997
several,several,27.369999999999997,27.689999999999998
feet,feet,27.689999999999998,27.95
in,in,27.96,28.09
the,the,28.09,28.18
background,background,28.179999000000002,28.949999000000002
