There’s,there's,2.06,2.2800000000000002
a,a,2.28,2.3499999999999996
woman,woman,2.35,2.73
wearing,wearing,2.73,3.05
thick,thick,3.08,3.49
rimmed,rimmed,3.52,3.97
prescription,prescription,4.01,4.71
glass,glass,4.71,5.02
looking,looking,5.22,5.529999999999999
into,into,5.53,5.760000000000001
the,the,5.76,5.88
camera,camera,5.88,6.4
She’s,she's,7.2,7.48
in,in,7.48,7.62
a,a,7.62,7.74
red,red,7.74,8.02
tartan,tartan,8.059999,8.479999
robe,robe,8.49,8.89
with,with,8.9,9.08
her,her,9.08,9.19
head,head,9.19,9.53
tilted,tilted,9.559999,9.979999
to,to,9.98,10.09
the,the,10.09,10.24
right,right,10.24,10.64
There’s,there's,11.15,11.370000000000001
a,a,11.37,11.45
baby,baby,11.45,11.83
in,in,11.83,11.9
the,the,11.9,12.02
foreground,foreground,12.02,12.77
Together,together,13.33,13.83
they,they,13.83,13.99
take,take,13.99,14.27
up,up,14.27,14.43
the,the,14.429999,14.569999000000001
entire,entire,14.57,15.11
image,image,15.13,15.5
frame,frame,15.5,15.98
from,from,16.02,16.24
the,the,16.24,16.34
chest,chest,16.34,16.78
up,up,16.779999,17.099999
They’re,they're,17.93,18.1
both,both,18.1,18.37
tired,tired,18.42,18.96
The,the,19.740000000000002,19.830000000000002
baby,baby,19.88,20.24
sleeps,sleeps,20.240000000000002,20.590000000000003
with,with,20.59,20.72
their,their,20.72,20.849999999999998
mouth,mouth,20.85,21.130000000000003
open,open,21.13,21.56
