face,face,1.23,1.51
sticky,sticky,1.64,2.02
with,with,2.02,2.24
vaseline,vaseline,2.53,3.36
and,and,3.47,3.5
sweat,sweat,3.5,3.54
my,my,3.94,4.11
tender,tender,4.13,4.43
broken,broken,4.43,4.77
scalp,scalp,4.77,5.18
resting,resting,5.18,5.4799999999999995
against,against,5.49,5.82
a,a,5.82,5.890000000000001
velvet,velvet,5.89,6.27
couch,couch,6.27,6.85
pick,pick,7.43,7.58
pick,pick,7.58,7.97
pick,pick,8.17,8.47
the,the,8.95,9.09
raised,raised,9.09,9.43
bit,bit,9.45,9.75
concave,<unk>,10.389999,11.159999
pull,pull,12.08,12.68
then,then,12.86,13.149999999999999
flick,flick,13.15,13.42
the,the,13.44,13.559999999999999
scab,scab,13.559999,13.899999
away,away,13.9,14.25
